Date,History Adj Close,Daily New Cases,Volume,Adj Close
2011-05-02 00:00:00,182.300003,0,6640900,201.190002
2011-05-03 00:00:00,196.630005,0,9398100,198.449997
2011-05-04 00:00:00,195.070007,0,6100000,199.970001
2011-05-05 00:00:00,195.809998,0,6550000,197.110001
2011-05-06 00:00:00,201.190002,0,4600000,197.600006
2011-05-09 00:00:00,198.449997,0,4013900,200.800003
2011-05-10 00:00:00,199.970001,0,5825400,203.940002
2011-05-11 00:00:00,197.110001,0,5885900,204.380005
2011-05-12 00:00:00,197.600006,0,4809000,206.070007
2011-05-13 00:00:00,200.800003,0,4800000,202.559998
2011-05-16 00:00:00,203.940002,0,4123700,192.509995
2011-05-17 00:00:00,204.380005,0,9386400,194.809998
2011-05-18 00:00:00,206.070007,0,7073300,197.089996
2011-05-19 00:00:00,202.559998,0,4955800,198.800003
2011-05-20 00:00:00,192.509995,0,3701200,198.649994
2011-05-23 00:00:00,194.809998,0,3381000,196.220001
2011-05-24 00:00:00,197.089996,0,4200000,193.270004
2011-05-25 00:00:00,198.800003,0,2972700,192.259995
2011-05-26 00:00:00,198.649994,0,4661300,195
2011-05-27 00:00:00,196.220001,0,4075200,194.130005
2011-05-31 00:00:00,193.270004,0,2352600,196.690002
2011-06-01 00:00:00,192.259995,0,3409000,192.399994
2011-06-02 00:00:00,195,0,3445200,193.649994
2011-06-03 00:00:00,194.130005,0,3044900,188.320007
2011-06-06 00:00:00,196.690002,0,4974500,185.690002
2011-06-07 00:00:00,192.399994,0,3716000,187.550003
2011-06-08 00:00:00,193.649994,0,4866500,188.050003
2011-06-09 00:00:00,188.320007,0,3716600,189.679993
2011-06-10 00:00:00,185.690002,0,4187300,186.529999
2011-06-13 00:00:00,187.550003,0,3760400,186.289993
2011-06-14 00:00:00,188.050003,0,3868900,189.960007
2011-06-15 00:00:00,189.679993,0,3960300,185.979996
2011-06-16 00:00:00,186.529999,0,6317700,183.649994
2011-06-17 00:00:00,186.289993,0,6032100,186.369995
2011-06-20 00:00:00,189.960007,0,6322200,187.720001
2011-06-21 00:00:00,185.979996,0,2831700,194.229996
2011-06-22 00:00:00,183.649994,0,4182600,191.630005
2011-06-23 00:00:00,186.369995,0,3129700,194.160004
2011-06-24 00:00:00,187.720001,0,4609600,192.550003
2011-06-27 00:00:00,194.229996,0,3614500,201.25
2011-06-28 00:00:00,191.630005,0,6100700,202.350006
